"Departamento","Municipio","Cultivo","Topografia","Drenaje","Riego","pH.agua.suelo.2.5.1.0","Materia.organica..MO...","Fosforo..P..Bray.II.mg.kg","Azufre..S..Fosfato.monocalcico.mg.kg","Acidez..Al.H..KCL.cmol....kg","Aluminio..Al..intercambiable.cmol....kg","Calcio..Ca..intercambiable.cmol....kg","Magnesio..Mg..intercambiable.cmol....kg","Potasio..K..intercambiable.cmol....kg","Sodio..Na..intercambiable.cmol....kg","capacidad.de.intercambio.cationico..CICE..suma.de.bases.cmol....kg","Conductividad.el.ctrica..CE..relacion.2.5.1.0.dS.m","Hierro..Fe..disponible.olsen.mg.kg","Cobre..Cu..disponible.mg.kg","Manganeso..Mn..disponible.Olsen.mg.kg","Zinc..Zn..disponible.Olsen.mg.kg","Boro..B..disponible.mg.kg"
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",4.57,9.2349720264551,103.778331973899,29.4342105263158,3.70535171552725,3.21227626064829,2.75957165,0.61043316,0.805138812,0.15243417,8.03292950752726,0.8972232,1364.372,2.688,11.163,3.53,0.474248927038627
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",4.96,6.2352443312149,59.3736827079935,14.6973684210526,2.20655776317915,1.89077020405247,2.61541738,0.80286805,0.904564368,0.15071175,6.68011931117915,0.4036976,917.928,2.014,6.934,2.496,0.452789699570815
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",5.21,3.99426672481989,123.933633768352,17.5921052631579,0.603680897473541,0.47777526661541,3.73703202,1.4228958,0.764006904,0.15195572,6.67957134147354,0.4776736,862.587,2.528,5.206,3.919,0.645922746781116
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",4.59,5.20708766367131,459.463580750408,22.7236842105263,1.86308414909938,1.5756418367104,2.87188682,0.53729704,0.466517988,0.16353421,5.90232020709938,0.6145292,2087.602,1.948,7.236,4.487,0.560085836909871
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Ondulado","No indica","No cuenta con riego",5.02,12.6225955443557,61.2632422512235,13.6447368421053,1.94635047978538,1.72812330477914,2.48652392,0.40532617,0.260352036,0.12047371,5.21902631578538,0.3471588,624.261,1.195,5.608,2.997,0.216738197424893
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",4.61,9.5866642390005,209.526386623165,43.2236842105263,2.60207283393768,2.15507141537164,3.01329634,1.11586892,1.511864892,0.14774536,8.39084834593768,1.6390968,1368.906,2.817,15.616,6.188,1.03240740740741
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",4.66,8.05576872556757,258.912601957586,29.3026315789474,1.60287686570561,1.25034803816373,3.44872348,0.87781447,1.216626696,0.14152551,7.28756702170561,1.5883704,2414.528,3.361,14.829,6.388,0.603004291845494
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Ondulado","No indica","No cuenta con riego",4.68,8.9246553683268,64.7990089722675,31.3815789473684,2.57084795993043,2.25672572741747,2.92184127,0.72647339,0.334175652,0.15195572,6.70529399193043,0.8898256,557.907,1.798,6.299,1.644,0.259656652360515
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano y ondulado","No indica","No cuenta con riego",4.48,8.24713066474669,56.9687887438825,15.3552631578947,4.02800874693553,3.5070737655812,2.0816184,0.77010162,0.720624276,0.16496956,7.76532260293553,0.961688,992.868,2.143,4.625,1.175,0.366952789699571
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Ondulado","No indica","No cuenta con riego",5.06,8.80052870507549,53.7908931484502,17.5921052631579,2.37309042455116,2.07374796573497,3.47913531,0.48407422,0.371875212,0.1205694,6.82874456655116,0.3471588,662.382,1.449,2.506,1.134,0.73175965665236
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Plano","No indica","No cuenta con riego",4.31,8.3971170495087,94.459367862969,11.5394736842105,5.14169591986085,4.76758723494952,1.81537765,0.52335773,0.730302372,0.11989957,8.33063324186085,0.879786,1503.159,2.047,4.304,1.964,0.34549356223176
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Ondulado","No indica","No cuenta con riego",4.57,7.75579595604355,220.835114192496,37.2893258426966,4.44434040036555,3.95435273858286,2.76934296,0.42813595,0.31144338,0.12525821,8.07852090036556,0.430646,1405.131,1.005,5.211,1.445,0.452789699570815
"CUNDINAMARCA","LENGUAZAQUE","Papa de año","Ondulado","No indica","No cuenta con riego",4.54,7.40927568780029,136.473438009788,14.8289473684211,4.74618084910233,4.15766136267453,1.82097694,0.3874042,0.2644596,0.11855991,7.33758149910233,0.311756,1487.845,1.164,3.443,1.397,0.624463519313305
"CUNDINAMARCA","COGUA","Papa de año","Pendiente","No indica","No cuenta con riego",5.02,18.0686528945073,33.8073694942904,6.27631578947368,2.72697232996669,2.51086150753205,2.65285577,0.65152697,0.164246292,0.1416212,6.33722256196669,0.2948472,396.66,1.336,5.44,2.443,0.130901287553648
"CUNDINAMARCA","COGUA","Papa de año","Pendiente","No indica","No cuenta con riego",5.02,17.2566576390716,21.6540660685155,6.93421052631579,3.09126252671796,2.59218495716872,2.63067819,0.63976002,0.142301772,0.16707474,6.67107724871796,0.2795236,355.531,1.384,4.985,2.312,0.216738197424893
"CUNDINAMARCA","COGUA","Papa de año","Pendiente","No indica","No cuenta con riego",5.32,4.30716935509925,18.4045962479608,12.7236842105263,0.603680897473541,0.437113541797078,3.81750809,1.43520584,0.419703012,0.16209886,6.43819669947354,0.2071328,459.327,5.887,13.374,3.657,0.302575107296137
"CUNDINAMARCA","COGUA","Papa de año","Pendiente","No indica","No cuenta con riego",5.21,3.37621938071436,14.3821247960848,3.51315789473684,1.56124370036261,1.17919001973165,3.60396654,1.69715625,0.286179048,0.15874971,7.30729524836261,0.1410828,1300.068,5.912,10.363,1.506,0.195278969957081
